Year,SeedSource,JD Rounded,date (:Date),Hc (K)
1976,High,-26,1976-12-06,-24.1
1976,High,3,1977-01-04,-21.7
1976,High,10,1977-01-11,-26.9
1976,High,36,1977-02-06,-24.5
1976,High,48,1977-02-18,-23
1976,High,61,1977-03-01,-22
1976,High,75,1977-03-15,-18.9
1977,High,-81,1977-10-12,-7
1977,High,-67,1977-10-26,-9.5
1977,High,-53,1977-11-09,-14.2
1977,High,-26,1977-12-06,-23.4
1977,High,1,1977-01-01,-27
1977,High,8,1978-01-09,-27.1
1977,High,24,1978-01-25,-27.9
1977,High,53,1978-02-21,-20.5
1977,High,74,1978-03-16,-17.7
1977,High,86,1978-03-28,-9.6
1974,High,-71,1974-10-22,-6.1
1974,High,-40,1974-11-22,-17
1974,High,1,1975-01-02,-24
1974,High,24,1975-01-25,-24.4
1974,High,61,1975-03-03,-21.7
1974,High,77,1975-03-19,-16.1
1974,High,104,1975-04-15,-7.9
