Index,Year,SeedSource,JDay,date(:Date),Hc(K)
21,1974,High,24,1975-01-25,-24.4
7,1976,High,75,1977-03-15,-18.9
8,1977,High,-81,1977-10-12,-7
18,1974,High,-71,1974-10-22,-6.1
4,1976,High,36,1977-02-06,-24.5
13,1977,High,8,1978-01-09,-27.1
6,1976,High,61,1977-03-01,-22
17,1977,High,86,1978-03-28,-9.6
20,1974,High,1,1975-01-02,-24
15,1977,High,53,1978-02-21,-20.5
16,1977,High,74,1978-03-16,-17.7
22,1974,High,61,1975-03-03,-21.7
1,1976,High,-26,1976-12-06,-24.1
9,1977,High,-67,1977-10-26,-9.5
24,1974,High,104,1975-04-15,-7.9
10,1977,High,-53,1977-11-09,-14.2
5,1976,High,48,1977-02-18,-23
