Index,Year,SeedSource,JDay,date(:Date),Hc(K)
20,1976,Low,75,1977-03-16,-19.8
25,1977,Low,1,1977-01-02,-24
11,1976,Low,-75,1976-10-18,-5.7
13,1976,Low,-39,1976-11-23,-15.4
7,1974,Low,104,1975-04-15,-8.8
2,1974,Low,-40,1974-11-22,-18
1,1974,Low,-71,1974-10-22,-5.6
15,1976,Low,2,1977-01-03,-24.1
21,1977,Low,-81,1977-10-12,-6.1
27,1977,Low,24,1978-01-25,-25.9
30,1977,Low,86,1978-03-28,-11.4
29,1977,Low,74,1978-03-16,-18.2
8,1976,Low,-100,1976-09-23,-5.5
14,1976,Low,-15,1976-12-17,-23.6
22,1977,Low,-67,1977-10-26,-9.2
23,1977,Low,-53,1977-11-09,-14
17,1976,Low,36,1977-02-06,-24.8
9,1976,Low,-90,1976-10-03,-5.2
6,1974,Low,77,1975-03-19,-15
3,1974,Low,1,1975-01-02,-23.5
12,1976,Low,-60,1976-11-04,-8.9
